Tag,Label
9720,Taxonomy3 § Retired Segments § Internet and TV § TV § Genre § Music TV Watcher
9721,Taxonomy3 § Retired Segments § Internet and TV § TV § Genre § News & Current Affairs TV Watcher
9722,Taxonomy3 § Retired Segments § Internet and TV § TV § Genre § Sports TV Watcher
9724,Taxonomy4 § Travel § Destination § Domestic Holiday Taker
9725,Taxonomy4 § Travel § Destination § Foreign Holiday Taker
9726,Taxonomy4 § Travel § Destination § Domestic Holiday Intender
9727,Taxonomy4 § Travel § Destination § Foreign Holiday Intender
9740,Taxonomy4 § Travel § Vacation § Package Holiday Intender
9741,Taxonomy4 § Travel § Vacation § Winter Sports Holiday Intender
9742,Taxonomy4 § Travel § Vacation § Cruise Intender
9743,Taxonomy4 § Travel § Vacation § City Break Intender
9744,Taxonomy4 § Travel § Vacation § Spa Break Intender
9745,Taxonomy4 § Travel § Vacation § Theme Park Holiday Intender
9748,Taxonomy4 § Travel § Vacation § Type § Winter Sports Holiday Taker
9749,Taxonomy4 § Travel § Vacation § Type § Cruise Taker
9750,Taxonomy4 § Travel § Vacation § Type § City Break Taker
9751,Taxonomy4 § Travel § Vacation § Type § Spa Break Taker
9752,Taxonomy4 § Travel § Vacation § Type § Theme Park Holiday Taker
9757,Taxonomy4 § Demographics § Age § 25 to 29
9758,Taxonomy4 § Demographics § Age § 30 to 34
9759,Taxonomy4 § Demographics § Age § 35 to 39
9760,Taxonomy4 § Demographics § Age § 40 to 44
9761,Taxonomy4 § Demographics § Age § 45 to 49
9762,Taxonomy4 § Demographics § Age § 50 to 54
9763,Taxonomy4 § Demographics § Age § 55 to 59
9764,Taxonomy4 § Demographics § Age § 60 to 64
9765,Taxonomy4 § Demographics § Age § 65+
9771,Taxonomy4 § Retail & Consumer Goods § Mobile § Interest § Device Upgrade
9780,Taxonomy2 § Interests § Craft
9837,Taxonomy3 § Retired Segments § Tablet § Tablet Intender
9840,Taxonomy4 § Entertainment § Online § Dating
9849,Taxonomy4 § Demographics § Relationship Status § Divorced
9850,Taxonomy4 § Demographics § Relationship Status § Widowed
9875,Taxonomy4 § Retail & Consumer Goods § Electronics § Interest § Online Purchasing
9876,Taxonomy4 § Entertainment § Online § Movie Renting
9877,Taxonomy4 § Entertainment § Online § Betting
9879,Taxonomy4 § Entertainment § Online § Auctions
9881,Taxonomy4 § Retail & Consumer Goods § Cosmetics § Online Cosmetics
9882,Taxonomy4 § Retail & Consumer Goods § Interest § Cosmetics
9886,Taxonomy4 § Entertainment §  Video Game § Online Games Buyer
9888,Taxonomy4 § Travel § Interest § Online Purchase
9898,Taxonomy4 § Entertainment § Online § Music Downloads
9899,Taxonomy4 § Entertainment § Interest § Media § E-Books
9900,Taxonomy4 § Entertainment § Interest § Media § DVDs
9901,Taxonomy4 § Entertainment § Interest § Media § Radio
9908,Taxonomy4 § Retail & Consumer Goods § Interest § DIY
9924,Taxonomy4 § Retail & Consumer Goods § Mobile § Interest § Mobile Phone
10153,Taxonomy4 § Demographics § Children § 16+ Years
10157,Taxonomy4 § Demographics § Relationship Status § In a Relationship
10175,Taxonomy4 § Entertainment § Interest § Media § Magazines
10176,Taxonomy4 § Entertainment § Interest § Tickets § Club
10177,Taxonomy4 § Entertainment § Interest § Tickets § Museum and Gallery
10178,Taxonomy4 § Retail & Consumer Goods § Interest § Gardening
10183,Taxonomy3 § Retired Segments § FMCG/Retail § Computer Intender
10184,Taxonomy4 § Auto § Car Intender
10189,Taxonomy4 § Travel § Vacation § Type § Camping Holiday Taker
10193,Taxonomy5 § Big5 § Extraversion
10194,Taxonomy5 § Big5 § Openness
10195,Taxonomy5 § Big5 § Neuroticism
10196,Taxonomy5 § Big5 § Agreeableness
10197,Taxonomy5 § Big5 § Conscientiousness
10198,Taxonomy5 § Big5 § Extraversion § Extravert
10199,Taxonomy5 § Big5 § Extraversion § Introvert
10200,Taxonomy5 § Big5 § Openness § Open
10201,Taxonomy5 § Big5 § Openness § Closed
10204,Taxonomy5 § Editorial Segments § General § Trendsetter
10206,Taxonomy5 § Editorial Segments § General § Adventurous Spirit
10207,Taxonomy5 § Editorial Segments § General § Lifestylist
10208,Taxonomy5 § Editorial Segments § General § Bright Spark
10209,Taxonomy5 § Editorial Segments § General § Culture Vulture
10211,Taxonomy5 § Big5extended § Style of Interests Spirit § Harmonizer
10212,Taxonomy5 § Big5extended § Style of Interests Spirit § Seeker
10213,Taxonomy5 § Big5extended § Style of Interests Spirit § Striver
10214,Taxonomy5 § Big5extended § Style of Interests Spirit § Energizer
10215,Taxonomy5 § Big5 § Agreeableness § Cold
10216,Taxonomy5 § Big5 § Agreeableness § Lovable
10217,Taxonomy5 § Big5 § Conscientiousness § Careless
10218,Taxonomy5 § Big5 § Conscientiousness § Organised
10219,Taxonomy5 § Big5 § Neuroticism § Neurotic
10220,Taxonomy5 § Big5 § Neuroticism § Stable
